hash,result,filename,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,mergehordesatparallel,plingeling
324b2441c6f1fa9d5f3cf3a4c8447fc7,unknown,SC21_Timetable_C_512_E_66_Cl_34_S_35.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
32a7129c1bf7922f8cfa7748db5b5268,sat,b2005-p3-14x14c17h9-Ser3-0.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
3334919f6e241ce87c5b91ed90fc0c1c,unsat,edit_distance031_284.cnf.xz,533.69,1385.47,147.20,109.81,105.81,1344.77,130.01,522.74,308.28
334aa882de28856fc8c75885285d2a3c,sat,HCP-446-105.cnf.xz,1766.14,929.46,511.00,675.33,578.35,memout,817.50,3637.28,1311.10
3354c5f91c523cfc42dab6a40129d102,sat,size_5_5_5_i003_r12.cnf.xz,timeout,38.03,timeout,timeout,2565.59,timeout,timeout,48.58,timeout
338bbefd31a527548666d5cee1aadaeb,unsat,rpoc_xits_10_UNKNOWN.cnf.xz,memout,memout,memout,memout,memout,memout,memout,memout,memout
33e82a3b6df2b2b63291775c0133a32f,unsat,MVD_ADS_S1_5_5.cnf.xz,1082.28,2.10,1.91,1469.64,1633.64,817.65,1851.62,12.34,140.91
34c4f43536cffc580a87e655b4100332,unknown,79.smt2.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
36503f7af8c8352b64ec2104cd2499c5,sat,Circuit_multiplier45.cnf.xz,552.30,1169.19,263.51,1116.43,265.27,timeout,52.23,705.61,161.06
36c02f64976f4c45a9e6bfb361d08316,unsat,edit_distance031_283.cnf.xz,558.61,1326.42,155.39,112.80,98.80,1234.41,134.48,380.19,517.46
36ffefcf54eb9e407652175766f21d83,sat,b2005-p2-14x14c17h9-Ser5-0.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
375b0bb96005020dea369b22f85ed8f5,unsat,shift1add.26949.cnf.xz,14.78,11.29,4.95,80.50,83.72,10.14,82.01,281.24,3.63
376fa5669a710c95b0b8d4c7a798f9f0,sat,prime_a22_b22.cnf.xz,36.13,33.05,18.49,11.25,10.25,memout,22.29,25.32,187.96
3859d592ef722f4f6e6a204a8f7fb30e,sat,20-100-frag12-32_sat.cnf.xz,4446.92,1493.96,1272.15,639.31,563.42,timeout,755.02,1931.57,1703.07
3a81b9d45f7bdbe5fec702d1f1aa5c12,unsat,MVD_ADS_S3_5_5.cnf.xz,1867.39,2.14,1.92,3014.97,3081.25,839.05,2904.99,13.99,242.73
3aef3d8d02941ba7ddb18adc128259ae,sat,php12e12.cnf.xz,1578.39,timeout,925.60,1117.33,844.21,timeout,924.60,timeout,4338.32
3b784f7f6fab6c024647a18855f6edaf,unsat,spg_300_301.cnf.xz,95.82,81.61,334.99,176.08,153.05,183.08,169.44,112.18,1253.89
3bdc1cbc7fde3c8f1ca958dc82a75b72,sat,puzzle39_sat.cnf.xz,timeout,1112.31,348.55,timeout,timeout,timeout,timeout,358.31,380.37
